object_id,player_name,is_hsv,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-J01KAS,Aaron Zehnter,False,2.0,0.0,0.0,0.0,0.0,1.0,3.0
DFL-OBJ-J01KEB,Dženan Pejčinović,False,1.5,1.0,0.0,0.0,1.5,1.0,5.0
DFL-OBJ-J01KEM,Nelson Felix Patrick Weiper,False,0.0,1.0,0.0,0.0,1.0,2.0,4.0
DFL-OBJ-J01KEV,Mert Kömür,False,2.0,0.0,0.0,0.0,1.0,1.0,4.0
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,False,2.5,0.0,0.0,0.0,0.5,0.0,3.0
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01KLU,Nicolas Jackson,False,0.0,0.0,0.0,0.0,0.0,2.0,2.0
DFL-OBJ-J01KUJ,Arkadiusz Pyrka,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0
DFL-OBJ-J01LB6,Youssoupha Niang,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01LMN,Can Yılmaz Uzun,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01N5L,Saint-Cyr Johan Bakayoko,False,1.0,0.0,0.0,1.0,0.0,0.0,2.0
DFL-OBJ-J01N5U,William Mikelbrencis,True,27.5,5.0,9.0,5.5,12.0,28.0,87.0
DFL-OBJ-J01N62,Badredine Bouanani,False,2.5,0.0,0.0,0.0,0.5,0.0,3.0
DFL-OBJ-J01NAE,Jan Bürger,False,0.0,0.0,1.0,0.0,0.0,3.0,4.0
DFL-OBJ-J01NZP,Jeanuël Merick Belocian,False,0.0,1.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01OBQ,Oscar Winther Höjlund,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01OYX,Daniel Elfadli,True,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01QPG,Damion Lamar Downs,True,3.5,0.0,0.0,0.0,2.5,1.0,7.0
DFL-OBJ-J01QPQ,Ibrahim Maza,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01QRR,Montrell Amare Culbreath,False,0.0,0.0,1.0,0.0,0.0,3.0,4.0
DFL-OBJ-J01QSK,Otto Emerson Stange,True,0.0,0.0,1.0,0.0,1.0,3.0,5.0
DFL-OBJ-J01R3Q,Carney Chibueze Chukwuemeka,False,0.0,0.0,1.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01R3R,Michael Akpovie Olise,False,3.0,0.0,1.0,0.0,2.0,4.0,10.0
DFL-OBJ-J01RF2,Bilal El Khannouss,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01RKL,Joel Chima Fujita,False,1.5,0.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-J01S1Y,Hennes Behrens,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01T3R,Cenk Özkacar,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01TMV,Robin Hranáč,False,0.0,0.0,1.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01TOV,Yuito Suzuki,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01TQX,Ameen Al-Dakhil,False,0.0,0.0,0.0,0.5,0.5,0.0,1.0
DFL-OBJ-J01TR0,Olivier Deman,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0
