match_id,team,frame,object_id,jersey,player_name,velocity_y_cm_s,deviation_from_team_mean_cm_s,team_n_fwd,team_n_bwd,responsible_reason
DFL-MAT-J041VR,1,76767,DFL-OBJ-J01OYX,8,Daniel Elfadli,-485.8556158012653,451.8617684650276,5,5,velocity_outlier_same_direction
DFL-MAT-J041VR,1,144001,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,334.9531406596585,144.75818243752818,10,0,velocity_outlier_same_direction
DFL-MAT-J041VR,1,154824,DFL-OBJ-J01H5G,24,Nicolas Capaldo Taboas,-550.8079400470644,352.5545026631953,1,9,velocity_outlier_same_direction
DFL-MAT-J041W5,0,31692,DFL-OBJ-J01OYX,8,Daniel Elfadli,291.6620356294259,236.9422429422422,7,3,velocity_outlier_same_direction
DFL-MAT-J041W5,0,56708,DFL-OBJ-J01H5G,24,Nicolas Capaldo Taboas,-377.06266961701783,447.730489116356,6,4,velocity_outlier_against_majority
DFL-MAT-J041W5,0,103211,DFL-OBJ-J01W6J,14,Rayan Philippe,-277.7496959562227,243.2300457191794,4,6,velocity_outlier_same_direction
DFL-MAT-J041W5,0,106746,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,400.7934979674114,300.80323018366335,6,4,velocity_outlier_same_direction
DFL-MAT-J041W5,1,30323,DFL-OBJ-J02471,5,Vinicius de Souza Costa,327.753651340613,224.42496593583724,8,2,velocity_outlier_same_direction
DFL-MAT-J041W5,1,130866,DFL-OBJ-J01KAS,25,Aaron Zehnter,355.6014858732218,408.72253189644215,4,6,velocity_outlier_against_majority
DFL-MAT-J041W5,1,133967,DFL-OBJ-0000Y4,27,Maximilian Arnold,206.99098003445712,265.9917133993221,3,7,velocity_outlier_against_majority
DFL-MAT-J041W5,1,142392,DFL-OBJ-J01NZR,26,Saël Kumbedi Kumbedi,-508.3787991396706,384.0337615283286,3,7,velocity_outlier_same_direction
DFL-MAT-J041W5,1,161018,DFL-OBJ-J01C0A,7,Andreas Skov Olsen,-576.5363923516052,514.3080976993984,6,4,velocity_outlier_against_majority
DFL-MAT-J041W5,1,162184,DFL-OBJ-J0159A,21,Joakim Barut Mæhle Pedersen,-162.43974021147676,304.25421438464616,8,2,velocity_outlier_against_majority
DFL-MAT-J041W5,1,165195,DFL-OBJ-J024SW,14,Jenson Seelt,-299.3360725425937,239.68987674965857,4,6,velocity_outlier_same_direction
DFL-MAT-J041W5,1,173525,DFL-OBJ-J01G3P,4,Konstantinos Koulierakis,228.78127709649382,374.83415537763256,2,8,velocity_outlier_against_majority
DFL-MAT-J041W5,1,175216,DFL-OBJ-J0165W,32,Mattias Olof Svanberg,507.88201130592876,410.3657660777249,10,0,velocity_outlier_same_direction
DFL-MAT-J041WE,0,58068,DFL-OBJ-J01GSF,18,Ísak Bergmann Jóhannesson,33.06440942310314,176.93762879632382,2,8,velocity_outlier_against_majority
DFL-MAT-J041WE,0,59622,DFL-OBJ-J01FYE,16,Jakub Piotr Kamiński,177.95278594191385,326.13008710291024,1,9,velocity_outlier_against_majority
DFL-MAT-J041WE,0,118280,DFL-OBJ-J01DVC,8,Denis Huseinbašić,379.3259377498491,330.6264892514893,5,5,velocity_outlier_same_direction
DFL-MAT-J041WE,0,145199,DFL-OBJ-0028NR,30,Marius Bülter,312.3322551039989,199.02389558911543,8,2,velocity_outlier_same_direction
DFL-MAT-J041WE,1,45960,DFL-OBJ-J01IZ9,21,Nicolai Remberg,-304.57957501435686,314.70916523090347,7,3,velocity_outlier_against_majority
DFL-MAT-J041WE,1,62239,DFL-OBJ-J020IH,44,Luka Vušković,410.249597423511,234.19017234778187,9,1,velocity_outlier_same_direction
DFL-MAT-J041WE,1,72141,DFL-OBJ-J01FRO,20,Fábio Daniel Ferreira Vieira,331.89167314167184,340.5416202155328,4,6,velocity_outlier_against_majority
DFL-MAT-J041WE,1,78017,DFL-OBJ-J01W6J,14,Rayan Philippe,-403.71955339346835,435.70537031406633,8,2,velocity_outlier_against_majority
DFL-MAT-J041WE,1,81822,DFL-OBJ-J017PC,7,Jean-Luc Mamadou Diarra Dompé,-427.05665912187766,232.68191389930615,0,10,velocity_outlier_same_direction
DFL-MAT-J041WE,1,160331,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,168.59306554958394,208.72701372701107,3,5,velocity_outlier_against_majority
DFL-MAT-J041WE,1,160332,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,170.51386214429257,210.51577825354647,3,5,velocity_outlier_against_majority
DFL-MAT-J041WE,1,172826,DFL-OBJ-J01OYX,8,Daniel Elfadli,-243.39567638480548,245.75104796572163,5,3,velocity_outlier_against_majority
DFL-MAT-J041WE,1,176062,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,491.42483925092245,392.5550234789339,5,3,velocity_outlier_same_direction
DFL-MAT-J041WN,0,41753,DFL-OBJ-J01HP7,28,Miro Max Maria Muheim,-422.033827686001,335.8143953470036,3,7,velocity_outlier_same_direction
DFL-MAT-J041WN,0,46986,DFL-OBJ-J01VXC,16,Giorgi Gocholeishvili,-191.79261961870225,244.79290395594373,7,3,velocity_outlier_against_majority
