time_block,TPR,game_state
15-30,0.3084498348092375,level
15-30,0.3146586480719759,level
15-30,0.3153836574215967,level
15-30,0.2597602460386454,level
15-30,0.3916198401878452,level
15-30,0.3479261539579598,level
15-30,0.3273542797456228,level
15-30,0.4680447262325397,level
15-30,0.6812338218223792,level
15-30,0.7319981466832172,level
15-30,0.3309336633608797,level
15-30,0.2651101838735659,level
15-30,0.2635356666048972,level
15-30,0.2729161301011443,level
15-30,0.2851613207959415,level
15-30,0.2934828405617051,level
15-30,0.2645837675501243,level
15-30,0.4520799695191511,level
15-30,0.3283648845460421,level
15-30,0.4794529684748194,level
15-30,0.4964818359610775,level
15-30,0.4175655083061967,level
15-30,0.4044298475937834,level
15-30,0.4081604565668651,level
15-30,0.3901952651717698,level
15-30,0.3449801960451207,level
15-30,0.3248773339350745,level
15-30,0.3861058610034057,level
15-30,0.3457874775230265,level
15-30,0.2833378706969917,level
15-30,0.278893157276998,level
15-30,0.2722606795667114,level
15-30,0.288579946124992,level
15-30,0.3166335079409375,level
15-30,0.3088877667555765,level
15-30,0.2596382204480549,level
15-30,0.23197636455565,level
15-30,0.216758551759704,level
15-30,0.2314863039093143,level
15-30,0.2696748277722912,level
15-30,0.2786569753708056,level
15-30,0.2313431737326475,level
15-30,0.2844224780380867,level
15-30,0.3240782603944345,level
15-30,0.3616038020471143,level
15-30,0.3980601482172253,level
15-30,0.3568199256615478,level
15-30,0.2612173973366785,level
15-30,0.3130669446689281,level
15-30,0.3774194015562329,level
15-30,0.2297801451809396,level
15-30,0.2666820603177916,level
15-30,0.5060817036468584,level
15-30,0.4355703993845558,level
15-30,0.3228957828648326,level
15-30,0.3022889311127069,level
15-30,0.4481778516854411,level
15-30,0.2350777674863978,level
15-30,0.2504045091105037,level
15-30,0.2815162930037959,level
15-30,0.2430015893939969,level
15-30,0.3771256733128274,level
15-30,0.5939654130211115,level
15-30,0.4354628551605271,level
15-30,0.3838381880708295,level
15-30,0.3723281321750923,level
15-30,0.2909614174913496,level
15-30,0.265729691107551,level
15-30,0.2580161143996103,level
15-30,0.2797676181226324,level
15-30,0.3482616231334214,level
15-30,0.4021624457898441,level
15-30,0.3939518133676162,level
15-30,0.355727069322001,level
15-30,0.4017614740324709,level
15-30,0.3342204865262866,level
15-30,0.4836353383278866,level
15-30,0.3670606734740007,level
15-30,0.6942658479497502,level
15-30,0.6040708611055051,level
15-30,0.4961315039220517,level
15-30,0.4255918430664858,level
15-30,0.5927571384481066,level
15-30,0.2160922195664529,level
15-30,0.3024585922504618,level
15-30,0.2075038826236046,level
15-30,0.2567258914264975,level
15-30,0.2638745463883077,level
15-30,0.243496860148208,level
15-30,0.3129009793251043,level
15-30,0.2237588982079758,level
15-30,0.2357945957542183,level
15-30,0.2294421974106566,level
15-30,0.2384961646784494,level
15-30,0.2268293008574675,level
15-30,0.2988887479227956,level
15-30,0.2272019421749298,level
15-30,0.1907175493556743,level
15-30,0.2063255891706182,level
15-30,0.2193344203860059,level
15-30,0.2109832689280421,level
15-30,0.2379700475560537,level
15-30,0.3481601706904293,level
15-30,0.2511542369414187,level
15-30,0.3361437802022868,level
15-30,0.3197286482284567,level
15-30,0.4044227764767459,level
15-30,0.3596976864465206,level
15-30,0.5313243412568683,level
15-30,0.3551811607106901,level
15-30,0.3920098801172438,level
15-30,0.5283042046942975,level
15-30,0.5864098870590867,level
15-30,0.2818451421223589,level
15-30,0.3297652208332569,level
15-30,0.3360091814391673,level
15-30,0.2451929749095203,level
15-30,0.3805194829798006,level
15-30,0.4041071481930104,level
15-30,0.4592939033608275,level
15-30,0.3185228213020145,level
15-30,0.3151266068174554,level
15-30,0.3076087895800348,level
15-30,0.3212656889770477,level
15-30,0.3480519174423316,level
15-30,0.5962282877689256,level
30-45,0.4756879129727538,level
30-45,0.4925330459791618,level
30-45,0.4263878557499765,level
30-45,0.311027339204822,level
30-45,0.2667850514745864,level
30-45,0.2443010253544563,level
30-45,0.3622947681457024,level
30-45,0.5781870145822244,level
30-45,0.4998739246950449,level
30-45,0.3999613058046036,level
30-45,0.3149732329888642,level
30-45,0.3797511754911469,level
30-45,0.5041450202442407,level
30-45,0.4182366371325737,level
30-45,0.3698786437996358,level
30-45,0.3563792110683146,level
30-45,0.2730314064215616,level
30-45,0.3392710555208161,level
30-45,0.3507655329261163,level
30-45,0.2499190397553851,level
30-45,0.309230577661744,level
30-45,0.3062185748431281,level
30-45,0.3258530949068197,level
30-45,0.3412288852728649,level
30-45,0.4060258049261097,level
30-45,0.3879426488322136,level
30-45,0.2793473046153837,level
30-45,0.3942714521395561,level
30-45,0.5170134203692327,level
30-45,0.5027821645611694,level
30-45,0.3732557956037735,level
30-45,0.4618871597328405,level
30-45,0.4238965728393053,level
30-45,0.4858127601523476,level
30-45,0.4789856844099414,level
30-45,0.4342233487023878,level
30-45,0.4632853585852419,level
30-45,0.170900115420032,level
30-45,0.1886610197286912,level
30-45,0.214874313578193,level
30-45,0.2706793018929178,level
30-45,0.2846852635911029,level
30-45,0.5603323395606727,level
30-45,0.3221179105827954,level
30-45,0.3435360712170262,level
30-45,0.3634709926800523,level
30-45,0.3544853103373136,level
30-45,0.2535273937199725,level
30-45,0.2337776181085533,level
30-45,0.3149245459875509,level
30-45,0.2179602523376535,level
30-45,0.3144744820900124,level
30-45,0.3406793539081222,level
30-45,0.2846362359406564,level
30-45,0.293683157525881,level
30-45,0.4418099532535605,level
30-45,0.3973907413628498,level
30-45,0.3818467530084239,level
30-45,0.3251280587396396,level
30-45,0.3242989228528739,level
30-45,0.3721753513109208,level
30-45,0.2885030412628318,level
30-45,0.6294969840021962,level
30-45,0.5790132058302743,level
30-45,0.4358235770939747,level
30-45,0.3521938301017857,level
30-45,0.3614501720534958,level
30-45,0.4963010621701453,level
30-45,0.4796704384372766,level
30-45,0.3925772525317763,level
30-45,0.3822201433968121,level
30-45,0.4204248327890912,level
30-45,0.3630099915957349,level
