time_block,TPR,game_state
0-15,0.3139167793906724,level
0-15,0.2901480754049304,level
0-15,0.2661664689318213,level
0-15,0.259841098022697,level
0-15,0.3875970506504189,level
0-15,0.3382892216367059,level
0-15,0.3465444057970885,level
0-15,0.365241820824891,level
0-15,0.7406337009782555,level
0-15,0.533436850209296,level
0-15,0.5158422935933356,level
0-15,0.3674118929310126,level
0-15,0.4980494312430462,level
0-15,0.5225072541144399,level
0-15,0.617701164934792,level
0-15,0.7215586945104888,level
0-15,0.3947942009055541,level
0-15,0.2949495493897504,level
0-15,0.3347399252400411,level
0-15,0.3728115894289844,level
0-15,0.431366966102539,level
0-15,0.4258530062365739,level
0-15,0.3073347837727036,level
0-15,0.3145563957089438,level
0-15,0.3286632970391867,level
0-15,0.3076079002957893,level
0-15,0.3654195214930654,level
0-15,0.3486517373891548,level
0-15,0.3867062874419874,level
0-15,0.3159527500543867,level
0-15,0.4100469417307808,level
0-15,0.4577487714176745,level
0-15,0.4249816531881825,level
0-15,0.2651300904284522,level
0-15,0.3384275403677568,level
0-15,0.4049623774722259,level
0-15,0.4814164065014655,level
0-15,0.4988453641460483,level
0-15,0.3395725384061331,level
0-15,0.3721639971695314,level
0-15,0.3943547341738754,level
0-15,0.3965730442639073,level
0-15,0.508414602506831,level
0-15,0.3119068352595297,level
15-30,0.4584044559061662,level
15-30,0.3730217715521808,level
15-30,0.3828281037465404,level
15-30,0.1975778939587962,level
15-30,0.2994788230142459,level
15-30,0.6562604441302691,level
15-30,0.4663580629466979,level
15-30,0.3556331782357068,level
15-30,0.3640617140864794,level
15-30,0.276831074397147,level
15-30,0.4190893712027856,level
15-30,0.3472606703461193,level
15-30,0.3433396509541717,level
15-30,0.3271966092571002,level
15-30,0.4429592837136779,level
15-30,0.4380669706458301,level
15-30,0.3852251821376259,level
15-30,0.3140184619096571,level
15-30,0.3232835759641313,level
15-30,0.2514159511783224,level
15-30,0.1952287663770615,level
15-30,0.4464605342890388,level
15-30,0.4432889353274499,level
15-30,0.4432033763629763,level
15-30,0.3584677869830455,level
15-30,0.3546558882358282,level
15-30,0.4943860455872511,level
15-30,0.5399487775475785,level
15-30,0.4542577186949766,level
15-30,0.5171602437799532,level
15-30,0.4805210358126951,level
15-30,0.3949885100744353,level
15-30,0.3875416580413635,level
15-30,0.2930718265625482,level
15-30,0.2487963485623985,level
15-30,0.2999827921920135,level
15-30,0.3262395059056848,level
15-30,0.3439921356821733,level
15-30,0.4481223391806922,level
15-30,0.3608216746617658,level
15-30,0.4882318060629073,level
15-30,0.4541825708239486,level
15-30,0.5010156266704289,level
15-30,0.3838378531122839,level
15-30,0.2695125867313628,level
15-30,0.3516607061243294,level
15-30,0.2955211714214915,level
15-30,0.270789632742653,level
15-30,0.3759616520188272,level
15-30,0.3724263805869803,level
15-30,0.3678154622870961,level
15-30,0.3726784549192738,level
15-30,0.3163453734361051,level
15-30,0.3661338203934786,level
15-30,0.335150380013305,level
15-30,0.3747272042388694,level
15-30,0.2412182560241327,level
15-30,0.3422620536097615,level
15-30,0.4254720693906477,level
15-30,0.6045498741198507,level
15-30,0.4208578476478587,level
15-30,0.2805511456398835,level
15-30,0.3380640956673506,level
15-30,0.3202918808687374,level
15-30,0.5843528283413969,level
15-30,0.3445284466451755,level
15-30,0.2990488635339589,level
15-30,0.4289032634719182,level
15-30,0.2206289284394448,level
15-30,0.2415873829138811,level
15-30,0.2761294886881565,level
15-30,0.21632966717243,level
15-30,0.215570973016231,level
15-30,0.298299926675946,level
15-30,0.3273863394478405,level
15-30,0.2679095070146621,level
