object_id,player_name,times_flagged,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,9,16.604264627648305,2,16.07069778552121,0.5335668421270938
DFL-OBJ-J01QPQ,Ibrahim Maza,1,17.223277279510818,1,17.17389396281194,0.0493833166988793
DFL-OBJ-J01DA7,Luis Fernando Díaz Marulanda,2,21.294884033677583,2,21.323184870860707,-0.028300837183124372
DFL-OBJ-J01QRR,Montrell Amare Culbreath,4,23.63783965535376,1,24.24839724488286,-0.6105575895291011
DFL-OBJ-J021B9,Nikolas Konrad Veratschnig,2,20.21196549366519,1,20.89845840706457,-0.6864929133993805
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,11,20.80114570063703,2,21.706878733173724,-0.9057330325366948
DFL-OBJ-J021ET,Mohamed El Amine Amoura,11,18.277639258801567,2,19.33305983262815,-1.0554205738265843
DFL-OBJ-J01KAL,Lukas Ullrich,3,22.29124800619751,1,23.470717395391855,-1.1794693891943453
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,3,18.823917518933527,2,20.029712461420242,-1.2057949424867154
DFL-OBJ-00266E,Jonas Föhrenbach,8,21.985472844643166,1,23.26699745166833,-1.2815246070251654
DFL-OBJ-J01TOV,Yuito Suzuki,2,11.261526113449305,1,12.695395662691643,-1.4338695492423383
DFL-OBJ-J01UD5,Lennart Karl,2,15.642796258437269,2,17.304251766979245,-1.6614555085419767
DFL-OBJ-0025AD,Maximilian Mittelstädt,1,18.73429152683244,1,20.441607109057905,-1.7073155822254655
DFL-OBJ-J01ISO,Elias Saad,2,14.971714164772653,1,16.933094063530795,-1.9613798987581426
DFL-OBJ-J01N62,Badredine Bouanani,3,17.29848447737609,1,19.26797237740827,-1.9694879000321812
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,1,11.36811357142598,1,13.393313147238748,-2.0251995758127688
DFL-OBJ-J01ZQD,Saïd El Mala,5,17.33148774079474,2,20.854384036561683,-3.5228962957669445
DFL-OBJ-002GNN,Joseph Michael Scally,2,17.826097683819462,1,21.585844020215966,-3.7597463363965034
DFL-OBJ-J01W5Q,Louis Oppie,6,18.97194283277021,2,23.192983586752,-4.221040753981789
DFL-OBJ-J01XKB,William Cole Campbell,1,16.342306907585858,1,20.718645050980932,-4.376338143395074
DFL-OBJ-J01XA7,Bruno Ifechukwu Ogbus,1,11.548086956101388,1,16.76344109928116,-5.215354143179772
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,3,14.834896988550161,2,20.698192084798134,-5.863295096247972
DFL-OBJ-002GG4,Jens Castrop,1,7.970731103292069,1,14.32027067957777,-6.349539576285702
DFL-OBJ-J0157X,Manolis Saliakas,1,14.78547376880096,1,22.8239154268469,-8.038441658045938
