match_id,losing_team,recovery_seconds,post_loss_tpr,is_hsv
DFL-MAT-J041UO,1,35.24,0.5832006044662609,True
DFL-MAT-J041UO,1,26.76,0.359987628921814,True
DFL-MAT-J041UO,1,20.04,0.3973903371613762,True
DFL-MAT-J041UO,1,19.4,0.3936846067720578,True
DFL-MAT-J041UO,1,21.56,0.33367824882254354,True
DFL-MAT-J041UO,1,26.4,0.27052177301146474,True
DFL-MAT-J041UO,1,9.84,0.2738790068415161,True
DFL-MAT-J041UO,1,11.88,0.3074984645907133,True
DFL-MAT-J041UO,1,14.88,0.7011645257892378,True
DFL-MAT-J041V5,0,48.04,0.4249605680381599,True
DFL-MAT-J041V5,1,8.24,0.34470516541146745,False
DFL-MAT-J041V5,0,8.04,0.41578811900771145,True
DFL-MAT-J041V5,1,2.6,0.3021869447549737,False
DFL-MAT-J041V5,0,28.36,0.3314083596936631,True
DFL-MAT-J041V5,1,4.2,0.3573930032418594,False
DFL-MAT-J041V5,0,38.64,0.2869716389578496,True
DFL-MAT-J041V5,1,6.72,0.4522209975659161,False
DFL-MAT-J041V5,0,47.32,0.31965614764319383,True
DFL-MAT-J041V5,1,6.64,0.3007802492286449,False
DFL-MAT-J041V5,0,23.68,,True
DFL-MAT-J041V5,0,5.24,0.4003841109110698,True
DFL-MAT-J041V5,1,59.16,0.48683650695336206,False
DFL-MAT-J041V5,1,20.88,0.5183334538852826,False
DFL-MAT-J041V5,1,4.52,0.6137514422513468,False
DFL-MAT-J041V5,0,38.16,0.45000646632880975,True
DFL-MAT-J041V5,1,42.32,0.35475464108434407,False
DFL-MAT-J041V5,0,46.36,0.4744919250685716,True
DFL-MAT-J041V5,1,7.12,0.40848587191283636,False
DFL-MAT-J041V5,1,0.6,0.34570888470517563,False
DFL-MAT-J041V5,1,27.24,0.37988605998214425,False
DFL-MAT-J041V5,0,6.16,0.5031032718803803,True
DFL-MAT-J041V5,1,44.4,0.3414406626072178,False
DFL-MAT-J041V5,0,8.28,0.43567788868922364,True
DFL-MAT-J041V5,1,44.0,0.29917143989074085,False
DFL-MAT-J041V5,1,25.96,0.523393883537337,False
DFL-MAT-J041V5,1,29.04,0.3230570674697953,False
DFL-MAT-J041V5,1,37.12,0.5626568264100946,False
DFL-MAT-J041V5,0,48.44,0.4411066022133938,True
DFL-MAT-J041V5,1,56.6,0.5538239339808333,False
DFL-MAT-J041V5,0,25.44,0.28025512590947044,True
DFL-MAT-J041V5,1,10.48,0.4139697059324627,False
DFL-MAT-J041V5,0,3.6,0.3972293941955959,True
DFL-MAT-J041V5,0,57.24,0.3037944302119739,True
DFL-MAT-J041V5,0,44.32,0.3605444500641908,True
DFL-MAT-J041V5,1,4.68,0.24051924960042684,False
DFL-MAT-J041V5,0,23.84,0.38937521343520093,True
DFL-MAT-J041V5,1,44.68,0.41115244892674924,False
DFL-MAT-J041V5,0,46.56,0.6052719788308001,True
DFL-MAT-J041V5,1,32.6,0.2415567722610478,False
DFL-MAT-J041V5,1,30.0,0.3962460997154942,False
DFL-MAT-J041V5,0,23.76,0.39919244138404686,True
DFL-MAT-J041V5,0,4.92,0.4480085073715223,True
DFL-MAT-J041V5,0,26.8,0.532869470662233,True
DFL-MAT-J041V5,0,54.28,0.43964660719381715,True
DFL-MAT-J041V5,1,2.28,0.38329867658738714,False
