object_id,player_name,times_best,avg_breakdown_gap_m,matches,avg_baseline_gap_m,diff_m
DFL-OBJ-0026TU,Andrej Kramarić,1,1.3655013098347777,1,14.807088118547734,13.441586808712955
DFL-OBJ-J01TQX,Ameen Al-Dakhil,1,5.203246849590911,1,18.559587827695832,13.356340978104921
DFL-OBJ-J01LMN,Can Yılmaz Uzun,1,3.301060435678207,1,16.65718584504682,13.356125409368612
DFL-OBJ-002FXB,Ozan Muhammed Kabak,1,1.092891170753569,1,14.447796070273526,13.354904899519957
DFL-OBJ-0000ZS,Matthias Lukas Ginter,1,2.007346076690549,1,15.109040894432052,13.101694817741503
DFL-OBJ-00012Y,Lukas Kübler,2,4.8827872518105275,1,17.828307870147245,12.945520618336719
DFL-OBJ-0001K8,Patrick Mainka,5,2.686453059542424,2,15.605013314942488,12.918560255400063
DFL-OBJ-002G4A,Ellyes Joris Skhiri,1,3.0158941102019168,1,15.930853676951259,12.914959566749342
DFL-OBJ-J01WS3,Ilyas Ansah,3,3.09217374999456,2,15.945308428211774,12.853134678217215
DFL-OBJ-0001UP,Jonathan Glao Tah,1,2.519574969055567,1,15.314975535068433,12.795400566012866
DFL-OBJ-002GAR,Edmond Fayçal Tapsoba,1,3.813352110805878,1,16.538730168256244,12.725378057450365
DFL-OBJ-J01L5I,Chrislain Iris Aurel Matsima,1,1.6363256791956349,1,14.351370205168411,12.715044525972777
DFL-OBJ-J016J2,Alejandro Grimaldo Garcia,1,9.355158146745424,1,22.058451706207173,12.703293559461748
DFL-OBJ-J024SW,Jenson Seelt,2,1.408372335439765,1,13.991812077755135,12.58343974231537
DFL-OBJ-002GMV,Igor Matanović,1,2.542255244540774,1,15.116630122702345,12.57437487816157
DFL-OBJ-002706,Florian Christian Neuhaus,2,2.359313519149605,1,14.907988061430064,12.548674542280459
DFL-OBJ-J01G3P,Konstantinos Koulierakis,5,2.115706619728028,1,14.509384347708023,12.393677727979995
DFL-OBJ-J017LG,Cédric Adrian Zesiger,4,2.440379564622959,1,14.536470074267672,12.096090509644714
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,2,6.167664878882389,2,18.028719471126653,11.861054592244264
DFL-OBJ-0000XU,Dominique Heintz,1,2.5332809448774167,1,14.342832881332294,11.809551936454877
DFL-OBJ-J01AE6,Minjae Kim,3,3.6337130170712197,1,15.433942041741842,11.800229024670623
DFL-OBJ-0025W7,Robin Leon Koch,4,2.538054061674673,1,14.330601844341274,11.7925477826666
DFL-OBJ-0000HO,Willi Thomas Orbán,4,3.5308361130890495,2,15.212808040849245,11.681971927760195
DFL-OBJ-J01GHT,Luca Kerber,2,2.291184421409116,1,13.77474077673278,11.483556355323664
DFL-OBJ-002651,Benedikt Steffen Gimber,2,5.523322133572958,2,16.85903620143905,11.335714067866093
DFL-OBJ-00015H,Dominik Kohr,3,5.043298518705353,2,16.183607444345917,11.140308925640564
DFL-OBJ-J01EAZ,Arijon Ibrahimović,4,8.090951068179285,2,19.16626107827558,11.075310010096294
DFL-OBJ-0026VB,Phillip Tietz,1,5.239318233850241,1,15.784728924669169,10.545410690818928
DFL-OBJ-J01TOV,Yuito Suzuki,2,2.2538940522648354,1,12.695395662691643,10.441501610426808
DFL-OBJ-002GNL,Eric Anders Smith,1,1.8482591074833243,1,12.258764161472438,10.410505053989114
DFL-OBJ-0028D6,Keven Matteo Schlotterbeck,5,3.6847579133123274,1,14.091332248940226,10.406574335627898
DFL-OBJ-0027B9,Lucas Höler,6,4.335306884162432,2,14.62344728801879,10.288140403856357
DFL-OBJ-J01C0A,Andreas Skov Olsen,1,8.131544733510752,1,18.31089125056348,10.179346517052727
DFL-OBJ-J00W7B,Christian Dannemann Eriksen,9,3.294505762933619,2,13.393313147238748,10.098807384305129
DFL-OBJ-002GCU,Malik Leon Tillman,2,4.972772806911097,1,15.065650643987308,10.09287783707621
DFL-OBJ-0027AX,Florian Kainz,1,1.7670244221973774,1,11.646366801734635,9.879342379537258
DFL-OBJ-J020KQ,Leopold Querfeld,4,3.1567806110457983,2,13.00511762219678,9.848337011150981
DFL-OBJ-002G8E,Eren Sami Dinkçi,1,5.769777794895493,1,15.392022694351168,9.622244899455675
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,10,6.132528114133761,2,15.605833252784134,9.473305138650373
DFL-OBJ-J01GQO,Danilho Raimundo Doekhi,1,5.17659035025189,1,14.637390111689447,9.460799761437556
DFL-OBJ-J024SS,Ignacio Ezequiel Agustín Fernández Carballo,3,3.717105870184706,1,13.161630272101121,9.444524401916414
DFL-OBJ-J01RKL,Joel Chima Fujita,5,3.4934666619043426,1,12.888138875243525,9.394672213339183
DFL-OBJ-J021ZE,Andrej Ilić,1,8.470793467869974,1,17.75151291838554,9.280719450515566
DFL-OBJ-J0165W,Mattias Olof Svanberg,1,2.931127958843004,1,12.170878844289538,9.239750885446533
DFL-OBJ-J01D9B,Ramon Hendriks,1,8.705632772826377,1,17.866298145200567,9.16066537237419
DFL-OBJ-0028QV,Mathias Honsak,1,8.530390479245078,1,17.58907873699633,9.058688257751253
DFL-OBJ-J01ND7,Brajan Gruda,1,6.422928546318345,1,15.46780777373179,9.044879227413446
DFL-OBJ-J01NAG,Felipe Marlon Chávez Somocursio,1,2.0210478885719785,1,11.019032556187609,8.997984667615631
DFL-OBJ-J01D1W,Julian Jeffrey Gaston Chabot,3,6.230056083716836,2,15.06070902670154,8.830652942984702
DFL-OBJ-J019JX,Kevin Diks Bakarbessy,2,8.220319510710764,1,17.010829788940143,8.790510278229378
DFL-OBJ-00019U,Anthony Jung,2,6.593728867927861,2,15.243962748548212,8.650233880620352
DFL-OBJ-0002LI,Nadiem Amiri,9,4.333206663346022,1,12.873981324468232,8.54077466112221
DFL-OBJ-0028BP,Lennard Patrick Maloney,1,2.494943528394288,1,10.925251496249713,8.430307967855425
DFL-OBJ-002FW5,Amos Pieper,1,9.47920824166707,1,17.853269356647573,8.374061114980503
DFL-OBJ-J01O02,Ezechiel Banzuzi,3,2.839120154437566,1,11.193016574201213,8.353896419763647
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,2,7.822287859716351,1,16.07069778552121,8.24840992580486
DFL-OBJ-0027G6,Serge David Gnabry,1,8.241463746893388,1,16.240514222637717,7.99905047574433
DFL-OBJ-0025J3,Grischa Prömel,3,4.002003858947442,2,11.955818812646925,7.953814953699482
DFL-OBJ-J01VYC,Livan Baha Burcu,1,11.196646378423177,1,19.125094003605266,7.9284476251820895
DFL-OBJ-0028RJ,Jae-sung Lee,2,5.366365191501132,2,12.919667186298769,7.5533019947976365
DFL-OBJ-J01BSN,Felix Kalu Nmecha,4,4.171760412804327,2,11.645824127448732,7.474063714644405
