object_id,player_name,times_responsible,avg_deviation_cm_s,matches,is_goalkeeper
DFL-OBJ-002GCQ,Angelo Stiller,1,328.6121259979938,1,False
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,1,419.9047540623602,1,False
DFL-OBJ-002GHL,Julian Niehues,1,181.7410841976068,1,False
DFL-OBJ-002FWZ,Alphonso Boyle Davies,1,223.5031446009696,1,False
DFL-OBJ-002FX2,Romano Christian Schmid,1,271.164794545229,1,False
DFL-OBJ-002G56,Stefan Schimmer,1,335.90117873270134,1,False
DFL-OBJ-002G5B,Paul Nebel,1,190.1023768904164,1,False
DFL-OBJ-J01E9X,Karim David Adeyemi,1,485.3040480051311,1,False
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,1,326.13008710291024,1,False
DFL-OBJ-J01FO9,Nicolas Seiwald,1,284.8136873191223,1,False
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,1,420.7640366879485,1,False
DFL-OBJ-J01G5D,Lorenz Assignon,1,249.75129077846103,1,False
DFL-OBJ-J01DVC,Denis Huseinbašić,1,330.6264892514893,1,False
DFL-OBJ-J01EAZ,Arijon Ibrahimović,1,245.5986819139009,1,False
DFL-OBJ-J01DOV,Castello Junior Lukeba,1,173.40059175928772,1,False
DFL-OBJ-J01D90,Wouter Burger,1,592.2329482112083,1,False
DFL-OBJ-J01DNM,Nathaniel Brown,1,160.40581680799409,1,False
DFL-OBJ-J01D1W,Julian Jeffrey Gaston Chabot,1,335.9580067677867,1,False
DFL-OBJ-J01CAD,Derrick Arthur Köhn,1,488.87317996013394,1,False
DFL-OBJ-J01N5L,Saint-Cyr Johan Bakayoko,1,313.0361868405331,1,False
DFL-OBJ-J01KUJ,Arkadiusz Pyrka,1,413.3277620125433,1,False
DFL-OBJ-J01KO9,Jarell Amorin Quansah,1,386.0048083961123,1,False
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,1,345.4422260509189,1,False
DFL-OBJ-J01KEM,Nelson Felix Patrick Weiper,1,209.53175005349,1,False
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,1,289.8565462315436,1,False
DFL-OBJ-J01KAS,Aaron Zehnter,1,408.72253189644215,1,False
DFL-OBJ-J01K2F,Tom Bischof,1,362.1354669887257,1,False
DFL-OBJ-J01GSF,Ísak Bergmann Jóhannesson,1,176.93762879632382,1,False
DFL-OBJ-J01G82,Fabian Rieder,1,284.6448641937755,1,False
DFL-OBJ-J01GUA,András Schäfer,1,290.36734823147845,1,False
DFL-OBJ-J01Q2V,Budu Zivzivadze,1,355.4038433386258,1,False
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,1,384.0337615283286,1,False
DFL-OBJ-J01ND9,Aljoscha Kemlein,1,300.4793531750052,1,False
DFL-OBJ-J01NZP,Jeanuël Merick Belocian,1,415.6598031598018,1,False
DFL-OBJ-J01NAE,Jan Bürger,1,300.0975473801535,1,False
DFL-OBJ-J01VYC,Livan Baha Burcu,1,265.6227154487991,1,False
DFL-OBJ-J01UD5,Lennart Karl,1,428.0061259191682,1,False
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,1,307.29329667916426,1,False
