object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-00012Y,Lukas Kübler,DFL-MAT-J0422E,34,27.344881765355684
DFL-OBJ-J01K33,Patrick Wimmer,DFL-MAT-J041W5,32,28.42958486561231
DFL-OBJ-J02324,Daniel Jonathan Svensson,DFL-MAT-J0420P,32,26.366527021933436
DFL-OBJ-J02452,Mathias Pereira Lage,DFL-MAT-J041YV,32,32.643647908293424
DFL-OBJ-J01GTD,Jesper Gränge Lindström,DFL-MAT-J0420A,32,28.10218883730838
DFL-OBJ-002GPZ,Justin Gideon Njinmah,DFL-MAT-J041XE,31,36.13744922977217
DFL-OBJ-0026MA,Pascal Stenzel,DFL-MAT-J041X5,31,30.70567588232403
DFL-OBJ-J01KEB,Dženan Pejčinović,DFL-MAT-J0420A,31,28.396950782195198
DFL-OBJ-J01K2X,Anton Kade,DFL-MAT-J04215,31,30.658649353872082
DFL-OBJ-J0117M,Haris Tabaković,DFL-MAT-J041YN,31,32.075611605571005
DFL-OBJ-00012T,Emre Can,DFL-MAT-J041WN,30,54.41659510124341
DFL-OBJ-0027IT,David Raum,DFL-MAT-J04205,30,27.246016405290764
DFL-OBJ-J01G5D,Lorenz Assignon,DFL-MAT-J04219,30,24.445842750743143
DFL-OBJ-J01KO9,Jarell Amorin Quansah,DFL-MAT-J041YE,30,27.572805428139937
DFL-OBJ-J01D4G,Franck Honorat,DFL-MAT-J041UB,29,32.137619034310426
DFL-OBJ-002FX2,Romano Christian Schmid,DFL-MAT-J041XE,29,27.999339595655968
DFL-OBJ-0025AD,Maximilian Mittelstädt,DFL-MAT-J04219,29,24.154704971672505
DFL-OBJ-J01B7D,Martin Albert Frederic Terrier,DFL-MAT-J041YE,29,29.084728782845396
DFL-OBJ-0027RM,Robin Hack,DFL-MAT-J041UB,29,29.99571355097913
DFL-OBJ-00278S,Serhou Yadaly Guirassy,DFL-MAT-J0420P,29,32.050741676358186
DFL-OBJ-002GBW,Tim Lemperle,DFL-MAT-J0421W,29,28.41829351267731
DFL-OBJ-J01G82,Fabian Rieder,DFL-MAT-J041WT,29,27.012499673887866
DFL-OBJ-J01N5L,Saint-Cyr Johan Bakayoko,DFL-MAT-J041VR,29,27.299486443922003
DFL-OBJ-00015H,Dominik Kohr,DFL-MAT-J041ZQ,28,27.304496250739543
DFL-OBJ-0000NB,Danny Vieira da Costa,DFL-MAT-J041VN,28,25.516850093913252
DFL-OBJ-002GKO,Eric Martel,DFL-MAT-J041WE,28,27.435313517806158
DFL-OBJ-J01T3R,Cenk Özkacar,DFL-MAT-J041WE,28,23.20300416071072
DFL-OBJ-J01TR0,Olivier Deman,DFL-MAT-J0421J,27,30.092968844228448
DFL-OBJ-002FX2,Romano Christian Schmid,DFL-MAT-J0421J,27,31.377208911054556
DFL-OBJ-002G41,Jamie Leweling,DFL-MAT-J041X5,27,30.399128010098483
DFL-OBJ-002G6U,Patrik Schick,DFL-MAT-J0422G,26,27.11538734112749
DFL-OBJ-0001K8,Patrick Mainka,DFL-MAT-J041V5,26,36.07989714353588
DFL-OBJ-J01XKB,William Cole Campbell,DFL-MAT-J0421W,26,31.83677766087906
DFL-OBJ-J01DNM,Nathaniel Brown,DFL-MAT-J0421Z,26,26.507876884921114
DFL-OBJ-J01BGD,Danel Sinani,DFL-MAT-J041UN,26,35.96378974243061
DFL-OBJ-00264T,Waldemar Anton,DFL-MAT-J0420P,26,32.33452634820043
DFL-OBJ-0028BD,Linton Maina,DFL-MAT-J0420N,26,32.276057854107925
DFL-OBJ-0026VB,Phillip Tietz,DFL-MAT-J041ZQ,26,26.15674183740615
DFL-OBJ-002GDA,Ragnar Prince Friedel Ache,DFL-MAT-J0420N,26,28.13909444798061
DFL-OBJ-J01UNL,Arthur Augusto de Matos Soares,DFL-MAT-J0422G,26,29.28211633710833
DFL-OBJ-0028HA,Sirlord Calvin Conteh,DFL-MAT-J041V5,25,31.256207975267795
DFL-OBJ-0000NB,Danny Vieira da Costa,DFL-MAT-J041ZQ,25,25.311297469369247
DFL-OBJ-J01DKU,Benedict Hollerbach,DFL-MAT-J041VN,25,28.144295967076232
