object_id,player_name,is_hsv,phase,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-002G4W,Philipp Treu,False,low_press,1.0,1.0,1.0,0.0,0.0,0.0,3.0
DFL-OBJ-002G4W,Philipp Treu,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G4W,Philipp Treu,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002G4X,Giovanni Alejandro Reyna,False,low_press,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-002G56,Stefan Schimmer,False,low_press,2.0,0.0,0.0,0.0,0.0,4.0,6.0
DFL-OBJ-002G56,Stefan Schimmer,False,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002G5B,Paul Nebel,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G5R,Silas Katompa Mvumpa,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-002G5S,Ramy Bensebaini,False,transition,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,True,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G6U,Patrik Schick,False,low_press,3.5,0.0,0.0,0.0,2.5,3.0,9.0
DFL-OBJ-002G7P,Maximilian Beier,False,low_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G7P,Maximilian Beier,False,mid_press,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-002G7P,Maximilian Beier,False,transition,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,True,high_press,0.0,0.0,0.0,1.5,0.5,0.0,2.0
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,True,low_press,24.0,1.0,10.0,4.5,16.5,36.0,92.0
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,True,mid_press,1.8333333333333333,1.0,0.0,0.3333333333333333,0.8333333333333333,0.0,4.0
