object_id,player_name,times_responsible,avg_deviation_cm_s,matches
DFL-OBJ-002651,Benedikt Steffen Gimber,1,265.8494152787641,1
DFL-OBJ-002659,Tim Skarke,1,274.52116060268037,1
DFL-OBJ-002666,Marcel Sabitzer,1,241.22551743747186,1
DFL-OBJ-002GN3,Fisnik Asllani,1,257.82564637456113,1
DFL-OBJ-002GKG,Ansgar Knauff,1,256.26484747136806,1
DFL-OBJ-002GHL,Julian Niehues,1,181.7410841976068,1
DFL-OBJ-0028CM,Bote Ridle Nzuzi Baku,1,124.63146515320673,1
DFL-OBJ-002FX2,Romano Christian Schmid,1,271.164794545229,1
DFL-OBJ-002FWZ,Alphonso Boyle Davies,1,223.50314460096956,1
DFL-OBJ-0027T1,Konrad Laimer,1,281.88582592930186,1
DFL-OBJ-0028BD,Linton Maina,1,236.68225594856602,1
DFL-OBJ-0028B6,Jan-Niklas Beste,1,402.9254571917614,1
DFL-OBJ-00286V,Nikolas Terkelsen Nartey,1,290.29803187955133,1
DFL-OBJ-0027KL,Dayotchanculle Oswald Upamecano,1,294.9224040854476,1
DFL-OBJ-0027HO,Robert-Nesta Glatzel,1,263.46476188867416,1
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,1,326.13008710291024,1
DFL-OBJ-J01FO9,Nicolas Seiwald,1,284.8136873191223,1
DFL-OBJ-J01EAZ,Arijon Ibrahimović,1,245.5986819139009,1
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,1,420.7640366879485,1
DFL-OBJ-J01E9X,Karim David Adeyemi,1,485.3040480051311,1
DFL-OBJ-J01DNM,Nathaniel Brown,1,160.40581680799409,1
DFL-OBJ-J01DOV,Castello Junior Lukeba,1,173.40059175928772,1
DFL-OBJ-J01DVC,Denis Huseinbašić,1,330.6264892514893,1
DFL-OBJ-J01CAD,Derrick Arthur Köhn,1,488.87317996013394,1
DFL-OBJ-J01D1W,Julian Jeffrey Gaston Chabot,1,335.9580067677867,1
DFL-OBJ-J01D90,Wouter Burger,1,592.2329482112083,1
DFL-OBJ-J0165W,Mattias Olof Svanberg,1,410.3657660777249,1
DFL-OBJ-J0133P,Vladimir Coufal,1,277.22370021283047,1
DFL-OBJ-J019T5,Diogo Filipe Monteiro Pinto Leite,1,299.3419450919475,1
DFL-OBJ-J019JX,Kevin Diks Bakarbessy,1,231.71942389334038,1
DFL-OBJ-J01C0A,Andreas Skov Olsen,1,514.3080976993984,1
DFL-OBJ-J0159A,Joakim Barut Mæhle Pedersen,1,304.25421438464616,1
DFL-OBJ-J015AU,Karol Mets,1,229.10782715674034,1
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,1,457.0590042003046,1
DFL-OBJ-0028NR,Marius Bülter,1,199.02389558911543,1
DFL-OBJ-002G5Y,Immanuël-Johannes Pherai,1,211.84709976013983,1
DFL-OBJ-002G4A,Ellyes Joris Skhiri,1,391.79690297624944,1
DFL-OBJ-002G5B,Paul Nebel,1,190.1023768904164,1
DFL-OBJ-002G56,Stefan Schimmer,1,335.90117873270134,1
DFL-OBJ-002GAR,Edmond Fayçal Tapsoba,1,215.7095157258188,1
DFL-OBJ-002G8H,Exequiel Alejandro Palacios,1,192.29155405785926,1
DFL-OBJ-002G8B,Ransford-Yeboah Königsdörffer,1,233.2501787664857,1
DFL-OBJ-002GCQ,Angelo Stiller,1,328.6121259979938,1
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,1,419.90475406236027,1
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,1,289.8565462315436,1
DFL-OBJ-J01GSF,Ísak Bergmann Jóhannesson,1,176.93762879632382,1
DFL-OBJ-J01GUA,András Schäfer,1,290.36734823147845,1
DFL-OBJ-J01QSK,Otto Emerson Stange,1,272.5897069918834,1
DFL-OBJ-J01Q2V,Budu Zivzivadze,1,355.4038433386258,1
DFL-OBJ-J01NZP,Jeanuël Merick Belocian,1,415.6598031598018,1
DFL-OBJ-J01NZR,Saël Kumbedi Kumbedi,1,384.0337615283286,1
DFL-OBJ-J01N5L,Saint-Cyr Johan Bakayoko,1,313.0361868405331,1
DFL-OBJ-J01KUJ,Arkadiusz Pyrka,1,413.32776201254325,1
DFL-OBJ-J01NAE,Jan Bürger,1,300.0975473801535,1
DFL-OBJ-J01ND9,Aljoscha Kemlein,1,300.4793531750052,1
DFL-OBJ-J01KO9,Jarell Amorin Quansah,1,386.0048083961123,1
DFL-OBJ-J01KLQ,Aurèle Florian Amenda,1,345.4422260509189,1
DFL-OBJ-J01G5D,Lorenz Assignon,1,249.75129077846105,1
DFL-OBJ-J01G82,Fabian Rieder,1,284.6448641937755,1
DFL-OBJ-J01K2F,Tom Bischof,1,362.1354669887257,1
DFL-OBJ-J01KAS,Aaron Zehnter,1,408.72253189644215,1
DFL-OBJ-J01KEM,Nelson Felix Patrick Weiper,1,209.53175005349001,1
DFL-OBJ-J01R3Q,Carney Chibueze Chukwuemeka,1,238.78580256297755,1
DFL-OBJ-J02110,Albian Hajdari,1,314.33941420898225,1
DFL-OBJ-J01VYC,Livan Baha Burcu,1,265.6227154487991,1
DFL-OBJ-J01XHG,Kristoffer Lund Hansen,1,497.98695145433794,1
DFL-OBJ-J0208Z,Cameron Mitchel Puertas Castro,1,175.66776460254692,1
DFL-OBJ-J01TMV,Robin Hranáč,1,338.498353096178,1
DFL-OBJ-J01TQX,Ameen Al-Dakhil,1,188.616844307064,1
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,1,307.29329667916426,1
DFL-OBJ-J01UD5,Lennart Karl,1,428.0061259191682,1
DFL-OBJ-J02452,Mathias Pereira Lage,1,275.6042180444317,1
DFL-OBJ-J02324,Daniel Jonathan Svensson,1,341.6749940880359,1
DFL-OBJ-J024FD,José María Andrés Baixauli,1,454.8887298289511,1
DFL-OBJ-J024CC,Yan Diomande,1,468.9103422744753,1
DFL-OBJ-J024SS,Ignacio Ezequiel Agustín Fernández Carballo,1,240.38414102001016,1
DFL-OBJ-J024SW,Jenson Seelt,1,239.68987674965857,1
DFL-OBJ-J024Z8,Philip Porwei Otele,1,428.86873613504,1
DFL-OBJ-J0259D,Jonas Adjei Adjetey,1,239.42706468249747,1
