group,phase,dimension,n_events,n_baseline,mean_pct_random,mean_pct_breakdown,shift,p_value_worse,significant_and_worse
HSV,low_press,anticipation,482,32045,0.33282174442190665,0.6116796983495072,0.27885795392760054,1.0,False
HSV,low_press,synchronization,482,32045,0.497052650959588,0.35654120987796595,-0.14051144108162206,5.225592219600061e-25,True
HSV,transition,pressure,58,6515,0.43664042977743667,0.48228226638791116,0.045641836610474495,0.8552415309693467,False
HSV,transition,compactness,58,6515,0.49987327705295476,0.48049858416915875,-0.019374692883796008,0.30202632557374054,False
HSV,transition,lpc,58,6515,0.49821516500383733,0.5073596739619447,0.009144508958107367,0.5966322059824397,False
HSV,transition,pos,58,6515,0.426454765924789,0.5157593881493636,0.08930462222457464,0.9972473494847769,False
HSV,transition,anticipation,58,6515,0.41330802762854946,0.6120623494852728,0.19875432185672337,0.9999197061977512,False
HSV,transition,synchronization,58,6515,0.4977329240214889,0.3300553100272581,-0.1676776139942308,5.11896189550156e-06,True
Opponents,high_press,pressure,31,34619,0.2905024293018285,0.6412672884272946,0.3507648591254661,0.999999936440252,False
Opponents,high_press,compactness,31,34619,0.5006859816863571,0.5452320141186687,0.04454603243231159,0.8035680442845247,False
Opponents,high_press,lpc,31,34619,0.4971569947138854,0.64467395770922,0.14751696299533457,0.9980704993379059,False
Opponents,high_press,pos,30,34619,0.44786216817354635,0.6544026883118134,0.20654052013826701,0.999903905709367,False
Opponents,high_press,anticipation,31,34619,0.2319777809873191,0.5924324606383405,0.3604546796510214,0.9999998361234327,False
Opponents,high_press,synchronization,31,34619,0.5004374072041364,0.28576606730035436,-0.21467133990378207,1.918109095730717e-05,True
Opponents,mid_press,pressure,79,31981,0.3647011725712142,0.5094630949784663,0.1447619224072521,0.9999192203987843,False
Opponents,mid_press,compactness,79,31981,0.4984823301335167,0.4548408687278323,-0.04364146140568442,0.0908962900178763,False
Opponents,mid_press,lpc,79,31981,0.49176886276226506,0.5426833733161978,0.0509145105539327,0.9423969005200823,False
Opponents,mid_press,pos,78,31981,0.449275738719865,0.5796723054313498,0.13039656671148486,0.9999986955783537,False
Opponents,mid_press,anticipation,79,31981,0.3222592351708827,0.5963885202408551,0.2741292850699724,0.9999999999113508,False
Opponents,mid_press,synchronization,79,31981,0.49641695381632844,0.3291970430227758,-0.16721991079355264,1.429902583123069e-07,True
Opponents,low_press,pressure,448,23927,0.27335788857775734,0.49257917684146424,0.2192212882637069,1.0,False
Opponents,low_press,compactness,449,23927,0.50092632590797,0.5383941113388413,0.03746778543087126,0.9956645588373088,False
Opponents,low_press,lpc,449,23927,0.4965388473272871,0.4268499313474178,-0.06968891597986931,5.199969461228962e-07,True
Opponents,low_press,pos,441,23927,0.4036031428929661,0.4945166263939438,0.09091348350097767,0.9999999999999981,False
Opponents,low_press,anticipation,449,23927,0.3281676850420028,0.6305452283732731,0.3023775433312703,1.0,False
Opponents,low_press,synchronization,449,23927,0.5001437957119572,0.3228884851408185,-0.1772553105711387,3.645294901655688e-36,True
Opponents,transition,pressure,76,5597,0.43762118992317317,0.45163762541963265,0.014016435496459478,0.7692479602640672,False
Opponents,transition,compactness,76,5597,0.49909694479185285,0.5546251281231487,0.05552818333129583,0.9513194685314385,False
Opponents,transition,lpc,76,5597,0.5022452742540647,0.5123538925928364,0.010108618338771636,0.6158983720024747,False
Opponents,transition,pos,75,5597,0.4099932463819904,0.49120600321600866,0.08121275683401824,0.9998804738764611,False
Opponents,transition,anticipation,76,5597,0.425362229765946,0.5642731538512171,0.13891092408527111,0.9996461667728166,False
Opponents,transition,synchronization,76,5597,0.49929226371270324,0.33781019907281157,-0.16148206463989168,7.604402887461966e-07,True
