object_id_sb,player_name,touches,matches,avg_x_m,mean_position_adjusted_tpr
8327,Karol Mets,82,1,42.32073170731707,-0.02772733134363173
18789,Danilho Raimundo Doekhi,113,2,47.02212389380531,-0.0267229505348171
31353,Manolis Saliakas,55,1,68.08909090909091,-0.026399266937725964
77234,Luca Kerber,27,1,70.36666666666667,-0.026055515147576997
49230,Albian Hajdari,179,2,55.493296089385474,-0.025762126467506627
48246,Noah Atubolu,110,2,11.265454545454546,-0.02487946527451216
167880,Samuel-Germain Kinduelu Mbangula Tshifunda,4,1,76.7,-0.02462914626797448
23351,Keven Matteo Schlotterbeck,186,2,51.0247311827957,-0.024110902681401123
24644,Eric Anders Smith,165,2,50.769090909090906,-0.024056860871197988
81330,Robin Hranáč,153,2,56.85947712418301,-0.023828636551992684
47728,Nikola Vasilj,100,2,13.165999999999999,-0.023554389958682417
36811,Moritz Nicolas,102,2,8.364705882352942,-0.023387698718585533
48500,Moritz Jenz,56,1,52.392857142857146,-0.023364802247824345
39460,Nicolas Seiwald,143,2,60.15804195804196,-0.02317881401564605
415558,Bruno Ifechukwu Ogbus,70,1,40.964285714285715,-0.02293175093325994
8931,Philipp Lienhart,143,2,54.04265734265734,-0.02155185935165358
8904,Hauke Finn Wahl,188,2,46.988297872340425,-0.021452192861318633
3097,Pascal Groß,139,1,70.08345323741007,-0.021162674333800383
444262,Felipe Marlon Chávez Fischer,4,1,50.25,-0.020663849842069357
20770,Ozan Muhammed Kabak,210,2,53.720952380952376,-0.020021104954620072
143728,Hugo Larsson,146,2,64.04452054794521,-0.020017151837481446
296291,Nathaniel Brown,139,2,68.10575539568346,-0.019836735484738043
12034,David Raum,253,2,64.1098814229249,-0.019833829553363973
24413,Kamil Mieczysław Grabara,61,2,11.222950819672132,-0.019672078530509316
133483,Lennard Patrick Maloney,15,1,65.69333333333333,-0.01912614582266391
181010,Sael Kumbedi Nseke,39,1,53.08974358974359,-0.018881936945340225
48540,Lars Ritzka,20,1,48.035000000000004,-0.01860325934924247
152512,Leopold Querfeld,106,2,50.54716981132076,-0.017920296451866335
8235,Maximilian Arnold,93,2,52.884946236559145,-0.01727773421192847
3493,Emre Can,119,1,53.49579831932773,-0.017237400012279278
200848,Lasse Finn Rieß,33,1,10.315151515151515,-0.01719175446862321
48511,Joël Pascal Schmied,28,1,51.853571428571435,-0.01684111058159275
24118,Nico Cedric Schlotterbeck,235,2,59.97021276595745,-0.01650681630373455
35609,Karim-David Adeyemi,24,2,83.61666666666666,-0.01597030288986056
9186,Marnon Busch,103,2,60.4864077669903,-0.01589051882089661
254651,Oscar Winther Højlund,116,2,70.26206896551724,-0.015798200941827763
3767,Ellyes Joris Skhiri,70,1,48.537142857142854,-0.015787737557750325
8708,Adam Dźwigała,131,2,50.37099236641222,-0.015568046725568614
15854,Marco Friedl,71,1,61.336619718309855,-0.015147734522934648
8826,Leonardo Jesus Loureiro Bittencourt,25,1,62.788000000000004,-0.01509236313351908
29353,Cédric Adrian Zesiger,87,2,53.747126436781606,-0.014548232899934095
34339,Giovanni Reyna,34,1,71.82058823529412,-0.014179399566414152
11175,Diogo Filipe Monteiro Pinto Leite,46,1,56.28695652173913,-0.013839750557946671
314756,Elias Niklas Baum,19,1,61.31052631578948,-0.01355371033347345
10303,Patrick Mainka,137,2,47.61970802919708,-0.013403579980506015
7739,Kevin Diks Bakarbessy,83,2,38.19879518072289,-0.013009508605644943
8808,Matthias Ginter,211,2,52.10473933649289,-0.012626840214042636
6405,Stanley Nsoki,62,1,50.35967741935484,-0.012455346996110532
12407,Maximilian Mittelstädt,142,2,69.0056338028169,-0.012435172380259764
152063,Pharell Nnamdi Collins,144,1,57.452083333333334,-0.01215692785199307
16570,Vladimír Coufal,190,2,71.39684210526316,-0.011698886458204024
8559,Stefan Bell,49,1,42.30816326530612,-0.011639066950749557
9110,Benedikt Steffen Gimber,140,2,41.02857142857143,-0.011039486419359451
3513,Oliver Jasen Burke,19,2,71.03684210526316,-0.011003836826710441
8352,Jeffrey Julian Gaston Chabot,242,2,54.56487603305786,-0.010642253786698521
12387,Julian Ryerson,180,2,85.72444444444444,-0.0104991065758536
36830,Joseph Scally,175,2,63.46114285714286,-0.010356703454613739
24179,Olivier Deman,102,1,65.18823529411765,-0.009985610825571435
29697,Andreas Hanche-Olsen,71,1,41.4112676056338,-0.009840972439484516
256938,Can Yılmaz Uzun,142,2,79.48169014084507,-0.009754903660234968
316237,Mert Kömür,34,1,87.98823529411764,-0.009701294705692844
8945,Christian Günter,62,1,76.65322580645162,-0.009330873110564315
12420,Frederik Rønnow,55,2,16.592727272727274,-0.008735679130844389
38917,Tom Krauß,108,2,59.205555555555556,-0.00838705290783541
9109,Jonas Föhrenbach,93,1,74.71290322580646,-0.008062446983907099
78766,Ramon Hendriks,173,2,57.564161849710985,-0.007302185328440768
8814,Nico Elvedi,213,2,48.77042253521127,-0.0068217588806761325
395597,Leon Avdullahu,265,2,61.60150943396226,-0.006676127538082744
39360,Angelo Stiller,165,2,67.55939393939393,-0.006355293380290039
134717,Jobe Samuel Patrick Bellingham,233,2,66.03776824034334,-0.0054313568129462165
300704,Denis Huseinbašić,96,1,60.32708333333333,-0.005218391795743366
16190,Rasmus Nissen Kristensen,99,2,68.45858585858585,-0.0051954868045579585
9164,Christopher Trimmel,141,2,59.5404255319149,-0.00504351264767575
21865,Senne Lynen,150,2,57.65266666666666,-0.004944973356160074
8207,Dominik Kohr,82,2,49.326829268292684,-0.0048966650386935385
22324,Philipp Sander,170,2,61.70882352941177,-0.004510483905537729
12630,Bote Ridle Nzuzi Baku,246,2,61.38089430894309,-0.0039669732324310765
8238,Mahmoud Dahoud,123,1,62.8130081300813,-0.0039615432878426175
35705,Arnaud Kalimuendo Muinga,49,1,81.87142857142857,-0.0037215581970534055
13315,Philipp Mwene,80,2,72.78625,-0.002979684189824394
7083,Anthony Jung,78,2,50.75128205128205,-0.0028742417058445625
201513,Konstantinos Koulierakis,125,2,48.8992,-0.002174035276805697
9198,Niklas Dorsch,176,2,59.529545454545456,-0.0020494161144365
404984,Louis Oppie,116,2,68.8103448275862,-0.0018074562001986348
52224,Jenson Seelt,54,1,46.24444444444444,-0.001191214289947083
39245,Lorenz Assignon,72,1,62.55416666666666,-0.001153133375167704
32309,Ísak Bergmann Jóhannesson,164,2,65.71341463414635,-0.0010676114568453135
8676,Danny Vieira da Costa,192,2,56.330729166666664,-0.0010066494966281616
44857,Kristoffer Lund Hansen,165,2,63.989696969696965,-0.0003875312755675676
95175,Joel Chima Fujita,153,2,69.07254901960785,-0.0003701700988406141
296701,Aaron Zehnter,54,1,49.78333333333334,0.00017973302198953604
40943,Luca Netz,52,2,65.63269230769231,0.00042810216436948507
11459,Lukas Kübler,129,2,59.451937984496126,0.0009820159402568192
48396,Rocco Reitz,162,2,63.59382716049383,0.0014749699020067564
25368,Wouter Burger,169,2,67.03727810650886,0.0019905242889412173
8403,Nadiem Amiri,199,2,68.61507537688442,0.002167931121662908
8375,Sheraldo Rudi Salomo Willem Becker,32,1,95.41875,0.00234232491572929
291796,Jean-Mattéo Bahoya Négoce,66,2,75.50757575757575,0.0028548341720676467
49665,Felix Kalu Nmecha,102,2,74.96862745098039,0.003286642652419113
31955,Jakub Kamiński,107,2,81.80280373831775,0.003956786261957126
21623,Martijn Kaars,40,2,79.85,0.004144388333605485
396377,Max Moerstedt,6,1,90.31666666666666,0.004268134423697852
284660,Robin Fellhauer,112,2,71.59017857142858,0.00452520153751415
35242,Maximilian Beier,108,2,88.84166666666667,0.00485780771517701
57443,Daniel Svensson,98,2,71.77857142857142,0.0052406998586318875
131554,Yannik Engelhardt,74,1,52.77297297297297,0.005461666216757535
12323,Florian Neuhaus,78,2,64.8,0.005666185358687666
5490,Jackson Irvine,14,1,59.357142857142854,0.005710039549114064
11282,Vincenzo Grifo,113,2,64.24070796460177,0.005714397958609966
21261,Jonas Older Wind,24,1,74.3125,0.006002232377747679
16224,Danel Sinani,115,2,81.25130434782608,0.006736109194921843
16554,Joakim Mæhle Pedersen,6,1,38.083333333333336,0.006938824456561392
260726,Jonas Adjei Adjetey,78,1,55.80769230769231,0.007430247427396972
408608,Jan Bürger,21,1,80.53809523809524,0.007538758352796075
369243,Lukas Ullrich,86,1,69.60581395348838,0.008634433122897496
42822,András Schäfer,39,2,76.77179487179487,0.008810356083805893
404863,Livan Baha Burcu,25,1,91.148,0.008845778850787453
9410,Marius Wolf,65,1,64.57230769230769,0.008996492125021151
416763,Noahkai Daniel Banks,65,1,56.46153846153846,0.009010579834367078
16169,James Sands,134,2,61.79328358208954,0.009027324165259814
152058,Tom Alexander Rothe,15,1,69.03333333333333,0.009212523829698853
41783,Tiago Barreiros de Melo Tomás,7,1,80.89999999999999,0.009246189527682223
131049,Ameen Al Dakhil,108,1,55.239814814814814,0.00936414859171962
22067,Woo-Yeong Jeong,24,2,79.6125,0.009655158521690924
31427,Dimitrios Christos Giannoulis,147,2,68.70136054421769,0.00978531976093229
199651,Nikolas Konrad Veratschnig,41,2,77.40975609756097,0.009871720193177393
95954,Kaishu Sano,143,2,61.43006993006993,0.010170392170806012
47662,Derrick Arthur Köhn,96,2,73.2,0.010407556973467453
484944,Ayoube Amaimouni-Echghouyab,12,1,83.65833333333333,0.010562779712526242
7198,Franck Honorat,101,2,81.65049504950495,0.010647854996106858
254718,Nelson Felix Patrick Weiper,10,1,79.84,0.01072065853424931
8903,Mathias Honsak,20,1,73.155,0.010765595555439671
140575,Arijon Ibrahimović,91,2,78.31318681318682,0.011055571161958284
153161,Ezechiel Banzuzi,26,2,72.05384615384615,0.011145059893301609
100436,Shuto Machino,11,2,82.12727272727273,0.012002563131790182
38991,Eric Martel,188,2,52.40691489361702,0.012810715333517596
318751,José María Andrés Baixauli,143,2,65.84685314685315,0.013255382815827896
298193,Bence Dárdai,9,1,53.13333333333333,0.013280592663707085
7611,Alexis Claude Maurice,121,2,76.70578512396693,0.013313290588149564
30088,Fábio Daniel Soares Silva,37,1,96.3027027027027,0.013548818944725885
10012,Josha Mamadou Karaboue Vagnoman,60,2,74.28,0.013642581641505589
23658,Aurélio Gabriel Ulineia Buta,10,1,79.81,0.013699630948010678
131243,Deniz Undav,87,2,84.70574712643678,0.013805176618236489
48169,Marco Grüll,60,2,78.935,0.01390003068500345
29497,Yukinari Sugawara,154,2,64.89805194805194,0.01445519130869016
8401,Maximilian Eggestein,196,2,61.53418367346939,0.014857511286887896
433712,Kacper Potulski,63,1,46.55396825396826,0.015108872442619506
24977,Christoph Baumgartner,90,2,67.9,0.015856565551651828
424457,Johan Manzambi,176,2,67.57840909090909,0.015874795594719205
23909,Samuel Emmanuel Essende Mbongu,12,1,63.86666666666667,0.015954906084238604
185015,Justin Gideon Njinmah,62,2,87.74032258064516,0.016290239123484433
23452,Alex Král,18,1,64.74444444444445,0.016448615372617492
9133,Marius Bülter,28,2,91.88214285714285,0.016620924601536097
313937,Aljoscha Kemlein,43,1,64.63023255813954,0.016974945011030106
253296,Jovan Milošević,14,1,69.49285714285715,0.017418200104788013
21199,Han-Noah Massengo,72,2,67.32083333333334,0.0181423570936898
308252,Badredine Bouanani,82,1,79.99146341463415,0.01914192127304426
11821,Stefan Posch,66,1,40.9,0.019417474571993894
24532,Jens Dalsgaard Stage,102,2,64.65490196078431,0.02008399707817394
32587,Vinicius de Souza Costa,77,2,58.23246753246753,0.020244905289425224
5460,Andrej Kramarić,113,2,79.20442477876107,0.020840711311579337
45117,Arkadiusz Pyrka,117,2,69.72991452991452,0.021297445213520175
31744,Adrian Beck,53,2,75.8377358490566,0.021732513975522578
131159,Julian Niehues,36,1,56.955555555555556,0.02176553381473463
228605,Adam Daghim,60,2,84.73,0.021983280635370098
186412,Jeanuël Belocian,64,1,59.8828125,0.023050293211022515
141358,Mohamed El Amine Amoura,42,2,81.01904761904763,0.023647997509901753
48959,Omar Haktab Traorè,86,2,66.37558139534885,0.02422331092970241
42229,Yuito Suzuki,56,1,78.65357142857144,0.024646903618934228
12318,Linton Maina,66,2,74.54848484848485,0.025005329213341882
9209,Tim Skarke,29,2,74.12068965517241,0.025650577252333658
460324,Hennes Behrens,54,1,52.833333333333336,0.026057462218275155
133208,Patrick Osterhage,36,1,65.0638888888889,0.02644345437211745
